patch_size,dim,depth,train_acc,val_top1,val_top5,epochs,model_path
16,512,4,0.0115625,0.0145,0.05725,5,outputs/vit_patch16_dim512_depth4.pt
16,512,6,0.0025,0.00125,0.0145,5,outputs/vit_patch16_dim512_depth6.pt
16,512,8,0.0041875,0.00625,0.02575,5,outputs/vit_patch16_dim512_depth8.pt
16,1024,4,0.00975,0.016,0.05675,5,outputs/vit_patch16_dim1024_depth4.pt
16,1024,6,0.0019375,0.00325,0.01975,5,outputs/vit_patch16_dim1024_depth6.pt
16,1024,8,0.0065625,0.00925,0.037,5,outputs/vit_patch16_dim1024_depth8.pt
16,2048,4,0.0035,0.00425,0.02175,5,outputs/vit_patch16_dim2048_depth4.pt
16,2048,6,0.002375,0.0035,0.0155,5,outputs/vit_patch16_dim2048_depth6.pt
16,2048,8,0.0035,0.00275,0.01575,5,outputs/vit_patch16_dim2048_depth8.pt
32,512,4,0.020875,0.023,0.08525,5,outputs/vit_patch32_dim512_depth4.pt
32,512,6,0.025,0.04275,0.11675,5,outputs/vit_patch32_dim512_depth6.pt
32,512,8,0.0225,0.0445,0.12025,5,outputs/vit_patch32_dim512_depth8.pt
32,1024,4,0.001625,0.00175,0.01175,5,outputs/vit_patch32_dim1024_depth4.pt
32,1024,6,0.018875,0.0225,0.078,5,outputs/vit_patch32_dim1024_depth6.pt
32,1024,8,0.0091875,0.01925,0.06775,5,outputs/vit_patch32_dim1024_depth8.pt
32,2048,4,0.0149375,0.01525,0.06075,5,outputs/vit_patch32_dim2048_depth4.pt
32,2048,6,0.0034375,0.0115,0.03875,5,outputs/vit_patch32_dim2048_depth6.pt
32,2048,8,0.0085,0.00775,0.03025,5,outputs/vit_patch32_dim2048_depth8.pt
64,512,4,0.070875,0.09475,0.239,5,outputs/vit_patch64_dim512_depth4.pt
64,512,6,0.0376875,0.056,0.15425,5,outputs/vit_patch64_dim512_depth6.pt
64,512,8,0.041125,0.06375,0.1765,5,outputs/vit_patch64_dim512_depth8.pt
64,1024,4,0.0435,0.05275,0.15575,5,outputs/vit_patch64_dim1024_depth4.pt
64,1024,6,0.017125,0.02425,0.084,5,outputs/vit_patch64_dim1024_depth6.pt
64,1024,8,0.0165625,0.02925,0.08375,5,outputs/vit_patch64_dim1024_depth8.pt
64,2048,4,0.0198125,0.02725,0.08075,5,outputs/vit_patch64_dim2048_depth4.pt
64,2048,6,0.0149375,0.0215,0.067,5,outputs/vit_patch64_dim2048_depth6.pt
64,2048,8,0.007,0.00725,0.03125,5,outputs/vit_patch64_dim2048_depth8.pt
16,512,4,0.00975,0.016,0.05975,5,outputs/vit_patch16_dim512_depth4.pt
16,512,6,0.0015,0.00275,0.01225,5,outputs/vit_patch16_dim512_depth6.pt
16,512,8,0.0039375,0.0075,0.02325,5,outputs/vit_patch16_dim512_depth8.pt
16,1024,4,0.0013125,0.0035,0.0145,5,outputs/vit_patch16_dim1024_depth4.pt
16,1024,6,0.0066875,0.00925,0.03975,5,outputs/vit_patch16_dim1024_depth6.pt
16,1024,8,0.0049375,0.00875,0.03575,5,outputs/vit_patch16_dim1024_depth8.pt
16,2048,4,0.0014375,0.0025,0.01275,5,outputs/vit_patch16_dim2048_depth4.pt
16,2048,6,0.00225,0.003,0.01225,5,outputs/vit_patch16_dim2048_depth6.pt
16,2048,8,0.002125,0.0045,0.01525,5,outputs/vit_patch16_dim2048_depth8.pt
32,512,4,0.02725,0.04275,0.122,5,outputs/vit_patch32_dim512_depth4.pt
32,512,6,0.0270625,0.03825,0.117,5,outputs/vit_patch32_dim512_depth6.pt
32,512,8,0.04425,0.07025,0.1815,5,outputs/vit_patch32_dim512_depth8.pt
32,1024,4,0.0099375,0.021,0.06775,5,outputs/vit_patch32_dim1024_depth4.pt
32,1024,6,0.0058125,0.01375,0.039,5,outputs/vit_patch32_dim1024_depth6.pt
32,1024,8,0.008875,0.0125,0.047,5,outputs/vit_patch32_dim1024_depth8.pt
32,2048,4,0.0043125,0.0075,0.02675,5,outputs/vit_patch32_dim2048_depth4.pt
32,2048,6,0.0058125,0.00775,0.031,5,outputs/vit_patch32_dim2048_depth6.pt
32,2048,8,0.001125,0.0015,0.009,5,outputs/vit_patch32_dim2048_depth8.pt
64,512,4,0.049125,0.06325,0.15875,5,outputs/vit_patch64_dim512_depth4.pt
64,512,6,0.03,0.04225,0.1255,5,outputs/vit_patch64_dim512_depth6.pt
64,512,8,0.0365625,0.0465,0.13975,5,outputs/vit_patch64_dim512_depth8.pt
64,1024,4,0.0300625,0.04575,0.1315,5,outputs/vit_patch64_dim1024_depth4.pt
64,1024,6,0.0083125,0.0165,0.05675,5,outputs/vit_patch64_dim1024_depth6.pt
64,1024,8,0.0215625,0.028,0.087,5,outputs/vit_patch64_dim1024_depth8.pt
64,2048,4,0.012125,0.02075,0.06725,5,outputs/vit_patch64_dim2048_depth4.pt
64,2048,6,0.011375,0.0135,0.04125,5,outputs/vit_patch64_dim2048_depth6.pt
64,2048,8,0.013875,0.0185,0.06125,5,outputs/vit_patch64_dim2048_depth8.pt
